id	author	title	translator	year	publisher	pub_place
1	Baudelaire, Charles	The Parisian prowler: le spleen de Paris, petits poèmes en prose	KAplan, Edward K.	1990	University of Georgia Press	Athens, GA
10	Hagège, Claude	The dialogic species : a linguistic contribution to the social sciences /	Shelly, Sharon L.	1990	Columbia University Press	New York
2	Sartre, Jean-Paul	The family idiot: Gustave Flaubert, 1821-1857 (1-4)	Cosman, Carol	1991	University of Chicago Press	Chicago, ILL
3	Maupassant, Guy de	The necklace	NA	1992	Creative Education	Mankato, MINN
4	Chraïbi, Driss	Birth at dawn	Woollcombe, Ann	1990	Three Continents Press	Washington, D.C.
5	Lapouge, Gilles	The battle of Wagram	Brownjohn, John	1990	New Amsterdam	New York
6	Verne, Jules	Journey to the center of the earth /	NA	1990	Unicorn Pub. House	Morris Plains N.J.
7	Cocteau, Jean	Souvenir portraits : Paris in the Belle Epoque /	Browner, Jesse	1990	Paragon House	New York
8	Milner, Jean-Claude	For the love of language	Banfield, Ann	1990	St. Martin's Press	New York
9	Sardou, Victorien;;Kleine-Ahlbrandt, William Laird	La Tosca : the drama behind the opera /	NA	1990	Edwin Mellen Press	Lewiston, N.Y.
11	Sand, George	Journey within the crystal : a study and translation of George Sand's Laura, voyage dans le cristal	Pearson-Stamps, Pauline	1992	Lang	New York
12	Ding, Ya	The earth sings	Rothschild, Jon	1990	Harcourt Brace Jovanovich	San Diego, CALIF
13	Rousseau, Jean-Jacques;;Kelly, Christopher;;Masters, Roger D.	The collected writings of Rousseau (1-3);;v. 1. Rousseau, judge of Jean-Jacques, Dialogues -- v. 2. Discourse on the sciences and arts : first discourse and polemics -- v. 3. Discourse on the origins of inequality (second discourse) ; Polemics, and Political economy	NA	1990	Dartmouth College;;University Press of New England	Hanover, N.H.;;Hanover, N.H.
14	Toussaint, Jean-Philippe	The bathroom	Amphoux, Nancy;;De Angelis, Paul	1990	Dutton	New York
15	Kendris, Christopher	501 French verbs fully conjugated in all the tenses in a new easy to learn format (arranged alphabetically)	NA	1990	Barron's Educational Series	New York
16	Cohen, Marcel;;Jabès, Edmond	From the desert to the book (Edmond Jabès dialogues with Marcel Cohen)	Joris, Pierre	1990	Station Hill Press	Barrytown N.Y.
17	Khatibi, Abdelkebir	Love in two languages	Howard, Richard	1990	University of Minnesota Press	Minneapolis, MINN
18	Cixous, Hélène;;Lispector, Clarice	Reading with Clarice Lispector	Conley, Verena Andermatt	1990	University of Minnesota Press	Minneapolis, MINN
19	Césaire, Aimé	Lyric and dramatic poetry, 1946-82;;Poetry and knowledge ; And the dogs were silent ; Moi, laminaire	Eshleman, Clayton;;Smith, Annette	1990	University Press of Virginia	Charlottesville, VA
20	Jabès, Edmond	The book of resemblances	Waldrop, Rosmarie	1990	Wesleyan University Press	Middletown, CT
21	Zumthor, Paul	Oral poetry : an introduction	Murphy-Judy, Kathryn	1990	University of Minnesota Press	Minneapolis, MINN
22	NA	The one hundred new tales	Diner, Judith Bruskin	1990	Garland	New York
23	Voltaire	The complete tales of Voltaire;;(V. 1. The Huron. The history of Jenni. The one-eyed street porter. Cosi-sancta. An incident of memory. The travels of reason. The man with forty crowns. Timon. The king of Boutan. The city of Cashmere - v. 2. The letters of Amabed. The blind judges of colors. The princess of Babylon. The ears of Lord Chesterfield and Chaplain Goudman. Story of a good brahman. An Indian adventure. Zadig, or, Destiny - v. 3. Micromegas. Candide, or, Optimism. The world as it goes. The white and the black. Jeannot and Colin. The travels of Scarmentado. The white bull. Memnon. Plato's dream. Bababec and the Fakirs. The two consoled ones)	Walton, William	1990	H. Fertig	New York
24	Carrère, Emmanuel	Gothic romance	Goodman, Lanie	1990	Scribner	New York
25	Mandelbaum, Pili.	You be me, I'll be you;;A brown-skinned daughter and her white father experiment to see what it would be like to have the other's skin color	NA	1990	Kane/Miller Book Publishers	Brooklyn, N.Y.
26	Vigny, Alfred de	Alfred de Vigny's Chatterton : a play in three acts	Fulvi, Philip A.	1990	Griffon House Publications	New York
27	Billiet, Daniel;;Rutten, Nicole	The great invasion of the stone moles	NA	1990	Stewart Tabori and Chang	New York
28	Simenon, Georges	Maigret and the pickpocket	Ryan, Nigel	1990	G. K. Hall	Boston, MASS
29	Simenon, Georges	Maigret and the Flemish shop	Sainsbury, Geoffrey	1990	Harcourt Brace Jovanovich	San Diego, CALIF
30	Bedriomo, Emile;;Recker, Jo Ann Marie;;Siskin, H. Jay;;Storme, Julie A.	Situations et contextes	NA	1990	Holt, Rinehart and Winston	Fort Worth, TEX
31	Chénieux-Gendron, Jacqueline	Surrealism	Folkenflik, Vivian	1990	Columbia University Press	New York
32	Stéphane, Roger	Autour de Montaigne	Beck, William J.	1990	Lang	New York
33	Merle, Robert	Vittoria	Bray, Barbara	1990	Harcourt Brace Jovanovich	San Diego, CALIF
34	Green, Julien	The distant lands : a novel	Beaumont, Barbara	1991	M. Boyars	New York
